redcap_randomization_number,redcap_randomization_group,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,"NOTES:"
,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,," - Do NOT modify the first row, although you may modify, add, or delete any other row in this file."
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,," - Remember that this file is ONLY a template and should NOT be used as-is as your allocation table."
,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,," - You do not have to delete this 'notes' column when uploading your allocation table (it will be ignored)."
,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,," - Below is a list of all raw coded values and their corresponding option labels for each strata field and/or Data Access Groups."
,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,,"Randomization Field: ""rand_group"" (Randomization group)"
,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,,"Your randomization field is a single-select field (for open allocation):"
,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,," - Values in the redcap_randomization_number column are optional"
,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,," - Values in the redcap_randomization_group column are REQUIRED and must match the values for your randomization field"
,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,"Values/labels for ""randomization_group"" (""rand_group""):"
,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,"1","Drug A"
,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,"2","Drug B"
,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,"3","Placebo"
,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,,,"Values/labels for ""strat_1"" (Stratification 1):"
,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,,,"1","Yes"
,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,,"0","No"
,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1
,3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,,"Values/labels for ""strat_2"" (Stratification 2):"
,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,"1","Yes"
,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,"0","No"
,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0
,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,,"Values/labels for ""strat_3"" (Stratification 3):"
,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,,"1","Yes"
,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,,"0","No"
,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,,,"Values/labels for ""strat_4"" (Stratification 4):"
,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,,,"1","Yes"
,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,,,"0","No"
,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1
,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,,,"Values/labels for ""strat_5"" (Stratification 5):"
,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,,,"1","Yes"
,2,1,1,1,1,1,1,1,1,1,1,0,1,0,0,,,"0","No"
,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0
,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,,,"Values/labels for ""strat_6"" (Stratification 6):"
,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,,,"1","Yes"
,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,,,"0","No"
,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,,,"Values/labels for ""strat_7"" (Stratification 7):"
,3,1,1,1,1,1,1,1,1,1,1,0,0,1,0,,,"1","Yes"
,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,,,"0","No"
,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1
,3,1,1,1,1,1,1,1,1,1,1,0,0,0,1,,,"Values/labels for ""strat_8"" (Stratification 8):"
,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,,"1","Yes"
,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,,"0","No"
